insertId,jsonPayload.message,logName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
11gyxnzehnagr,"Mar 14 21:14:17 powerdns pdns[4979]: Could not retrieve security status update for '4.1.1-1.Ubuntu' on 'auth-4.1.1-1.Ubuntu.security-status.secpoll.powerdns.com.', RCODE = Non-Existent domain",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:14:17.678182398Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:14:17.398138225Z
11gyxnzehnagq,"Mar 14 21:14:17 powerdns pdns_server[4979]: Could not retrieve security status update for '4.1.1-1.Ubuntu' on 'auth-4.1.1-1.Ubuntu.security-status.secpoll.powerdns.com.', RCODE = Non-Existent domain",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:14:17.678182398Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:14:17.398129606Z
1i40z8sf4m4rly,Mar 14 21:12:36 powerdns systemd[1]: Started Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro).,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:12:37.677070619Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:12:36.812347406Z
w74uonfkhizx4,Mar 14 21:12:36 powerdns systemd[1]: Starting Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro)...,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:12:36.675342486Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:12:36.171188660Z
5u43epfjkffcz,Mar 14 21:09:35 powerdns systemd[1]: Started Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro).,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:09:36.676799295Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:09:35.979456772Z
1i43lx9fjr6xhb,Mar 14 21:09:35 powerdns systemd[1]: Starting Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro)...,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:09:35.684386817Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:09:35.324800126Z
bo3qu0fkgqbne,"Mar 14 21:07:01 powerdns pdns[4979]: Remote 119.224.142.131 wants 'test.xn--ahorrams-fza.com|A', do = 1, bufsize = 1680: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:07:02.669522048Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:07:01.822099534Z
bo3qu0fkgqbnd,"Mar 14 21:07:01 powerdns pdns_server[4979]: Remote 119.224.142.131 wants 'test.xn--ahorrams-fza.com|A', do = 1, bufsize = 1680: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:07:02.669522048Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:07:01.822096490Z
3c3o4lfjn48qd,"Mar 14 21:07:00 powerdns pdns[4979]: Remote 213.191.128.49 wants 'test.xn--ahorrams-fza.com|A', do = 1, bufsize = 1680: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:07:00.675555143Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:07:00.466173756Z
3c3o4lfjn48qc,"Mar 14 21:07:00 powerdns pdns_server[4979]: Remote 213.191.128.49 wants 'test.xn--ahorrams-fza.com|A', do = 1, bufsize = 1680: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:07:00.675555143Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:07:00.466061751Z
